geometry
POLYGON((-18.75 16.25, -16.25 16.25, -16.25 18.75, -18.75 18.75, -18.75 16.25))
POLYGON((1.25 11.25, 3.75 11.25, 3.75 13.75, 1.25 13.75, 1.25 11.25))
POLYGON((11.25 16.25, 13.75 16.25, 13.75 18.75, 11.25 18.75, 11.25 16.25))
POLYGON((16.25 16.25, 18.75 16.25, 18.75 18.75, 16.25 18.75, 16.25 16.25))
POLYGON((12.5 12.5, 17.5 12.5, 17.5 17.5, 12.5 17.5, 12.5 12.5))
POLYGON((16.25 11.25, 18.75 11.25, 18.75 13.75, 16.25 13.75, 16.25 11.25))
POLYGON((11.25 11.25, 13.75 11.25, 13.75 13.75, 11.25 13.75, 11.25 11.25))
POLYGON((5.0 5.0, 15.0 5.0, 15.0 15.0, 5.0 15.0, 5.0 5.0))
POLYGON((11.25 6.25, 13.75 6.25, 13.75 8.75, 11.25 8.75, 11.25 6.25))
POLYGON((16.25 6.25, 18.75 6.25, 18.75 8.75, 16.25 8.75, 16.25 6.25))
POLYGON((12.5 2.5, 17.5 2.5, 17.5 7.5, 12.5 7.5, 12.5 2.5))
POLYGON((16.25 1.25, 18.75 1.25, 18.75 3.75, 16.25 3.75, 16.25 1.25))
POLYGON((11.25 1.25, 13.75 1.25, 13.75 3.75, 11.25 3.75, 11.25 1.25))
POLYGON((1.25 6.25, 3.75 6.25, 3.75 8.75, 1.25 8.75, 1.25 6.25))
POLYGON((6.25 6.25, 8.75 6.25, 8.75 8.75, 6.25 8.75, 6.25 6.25))
POLYGON((2.5 2.5, 7.5 2.5, 7.5 7.5, 2.5 7.5, 2.5 2.5))
POLYGON((6.25 1.25, 8.75 1.25, 8.75 3.75, 6.25 3.75, 6.25 1.25))
POLYGON((1.25 1.25, 3.75 1.25, 3.75 3.75, 1.25 3.75, 1.25 1.25))
POLYGON((-10 -10, 10 -10, 10 10, -10 10, -10 -10))
POLYGON((1.25 -3.75, 3.75 -3.75, 3.75 -1.25, 1.25 -1.25, 1.25 -3.75))
POLYGON((6.25 -3.75, 8.75 -3.75, 8.75 -1.25, 6.25 -1.25, 6.25 -3.75))
POLYGON((2.5 -7.5, 7.5 -7.5, 7.5 -2.5, 2.5 -2.5, 2.5 -7.5))
POLYGON((6.25 -8.75, 8.75 -8.75, 8.75 -6.25, 6.25 -6.25, 6.25 -8.75))
POLYGON((1.25 -8.75, 3.75 -8.75, 3.75 -6.25, 1.25 -6.25, 1.25 -8.75))
POLYGON((11.25 -3.75, 13.75 -3.75, 13.75 -1.25, 11.25 -1.25, 11.25 -3.75))
POLYGON((16.25 -3.75, 18.75 -3.75, 18.75 -1.25, 16.25 -1.25, 16.25 -3.75))
POLYGON((12.5 -7.5, 17.5 -7.5, 17.5 -2.5, 12.5 -2.5, 12.5 -7.5))
POLYGON((16.25 -8.75, 18.75 -8.75, 18.75 -6.25, 16.25 -6.25, 16.25 -8.75))
POLYGON((11.25 -8.75, 13.75 -8.75, 13.75 -6.25, 11.25 -6.25, 11.25 -8.75))
POLYGON((5.0 -15.0, 15.0 -15.0, 15.0 -5.0, 5.0 -5.0, 5.0 -15.0))
POLYGON((11.25 -13.75, 13.75 -13.75, 13.75 -11.25, 11.25 -11.25, 11.25 -13.75))
POLYGON((16.25 -13.75, 18.75 -13.75, 18.75 -11.25, 16.25 -11.25, 16.25 -13.75))
POLYGON((12.5 -17.5, 17.5 -17.5, 17.5 -12.5, 12.5 -12.5, 12.5 -17.5))
POLYGON((16.25 -18.75, 18.75 -18.75, 18.75 -16.25, 16.25 -16.25, 16.25 -18.75))
POLYGON((11.25 -18.75, 13.75 -18.75, 13.75 -16.25, 11.25 -16.25, 11.25 -18.75))
POLYGON((1.25 -13.75, 3.75 -13.75, 3.75 -11.25, 1.25 -11.25, 1.25 -13.75))
POLYGON((6.25 -13.75, 8.75 -13.75, 8.75 -11.25, 6.25 -11.25, 6.25 -13.75))
POLYGON((2.5 -17.5, 7.5 -17.5, 7.5 -12.5, 2.5 -12.5, 2.5 -17.5))
POLYGON((6.25 -18.75, 8.75 -18.75, 8.75 -16.25, 6.25 -16.25, 6.25 -18.75))
POLYGON((1.25 -18.75, 3.75 -18.75, 3.75 -16.25, 1.25 -16.25, 1.25 -18.75))
POLYGON((-18.75 -3.75, -16.25 -3.75, -16.25 -1.25, -18.75 -1.25, -18.75 -3.75))
POLYGON((-13.75 -3.75, -11.25 -3.75, -11.25 -1.25, -13.75 -1.25, -13.75 -3.75))
POLYGON((-17.5 -7.5, -12.5 -7.5, -12.5 -2.5, -17.5 -2.5, -17.5 -7.5))
POLYGON((-13.75 -8.75, -11.25 -8.75, -11.25 -6.25, -13.75 -6.25, -13.75 -8.75))
POLYGON((-18.75 -8.75, -16.25 -8.75, -16.25 -6.25, -18.75 -6.25, -18.75 -8.75))
POLYGON((-8.75 -3.75, -6.25 -3.75, -6.25 -1.25, -8.75 -1.25, -8.75 -3.75))
POLYGON((-3.75 -3.75, -1.25 -3.75, -1.25 -1.25, -3.75 -1.25, -3.75 -3.75))
POLYGON((-7.5 -7.5, -2.5 -7.5, -2.5 -2.5, -7.5 -2.5, -7.5 -7.5))
POLYGON((-3.75 -8.75, -1.25 -8.75, -1.25 -6.25, -3.75 -6.25, -3.75 -8.75))
POLYGON((-8.75 -8.75, -6.25 -8.75, -6.25 -6.25, -8.75 -6.25, -8.75 -8.75))
POLYGON((-15.0 -15.0, -5.0 -15.0, -5.0 -5.0, -15.0 -5.0, -15.0 -15.0))
POLYGON((-8.75 -13.75, -6.25 -13.75, -6.25 -11.25, -8.75 -11.25, -8.75 -13.75))
POLYGON((-3.75 -13.75, -1.25 -13.75, -1.25 -11.25, -3.75 -11.25, -3.75 -13.75))
POLYGON((-7.5 -17.5, -2.5 -17.5, -2.5 -12.5, -7.5 -12.5, -7.5 -17.5))
POLYGON((-3.75 -18.75, -1.25 -18.75, -1.25 -16.25, -3.75 -16.25, -3.75 -18.75))
POLYGON((-8.75 -18.75, -6.25 -18.75, -6.25 -16.25, -8.75 -16.25, -8.75 -18.75))
POLYGON((-18.75 -13.75, -16.25 -13.75, -16.25 -11.25, -18.75 -11.25, -18.75 -13.75))
POLYGON((-13.75 -13.75, -11.25 -13.75, -11.25 -11.25, -13.75 -11.25, -13.75 -13.75))
POLYGON((-17.5 -17.5, -12.5 -17.5, -12.5 -12.5, -17.5 -12.5, -17.5 -17.5))
POLYGON((-13.75 -18.75, -11.25 -18.75, -11.25 -16.25, -13.75 -16.25, -13.75 -18.75))
POLYGON((-18.75 -18.75, -16.25 -18.75, -16.25 -16.25, -18.75 -16.25, -18.75 -18.75))
